MT    42
1  1  -2.671  19.713  
31
0.00761 -1.4955e-03 1.8691e-03 1.3856e-03 -1.7953e-03 -1.7763e-03 2.0148e-03 5.6702e-04 -8.3006e-04 1.6310e-04 1.6310e-04 9.8724e-05 9.8724e-05 9.8724e-05 9.8724e-05 1.1502e-04 1.1502e-04 
0.00515 -1.1062e-03 1.5544e-03 1.0511e-03 -1.4882e-03 -1.4053e-03 1.6311e-03 3.8753e-04 -6.6738e-04 1.3051e-04 1.3051e-04 7.9223e-05 7.9223e-05 7.9223e-05 7.9223e-05 9.0230e-05 9.0230e-05 
0.00349 -7.4689e-04 1.2553e-03 7.6139e-04 -1.1837e-03 -1.1028e-03 1.2823e-03 2.9395e-04 -5.4036e-04 1.0037e-04 1.0037e-04 6.1714e-05 6.1714e-05 6.1714e-05 6.1714e-05 7.1399e-05 7.1399e-05 
0.00236 -5.2059e-04 9.8330e-04 5.6712e-04 -9.3818e-04 -9.0022e-04 1.0290e-03 1.9106e-04 -4.0823e-04 7.7308e-05 7.7308e-05 4.8971e-05 4.8971e-05 4.8971e-05 4.8971e-05 5.4951e-05 5.4951e-05 
0.00160 -3.6281e-04 7.6538e-04 4.2340e-04 -7.2728e-04 -7.4145e-04 8.2522e-04 1.6032e-04 -3.1072e-04 5.9099e-05 5.9099e-05 3.8649e-05 3.8649e-05 3.8649e-05 3.8649e-05 4.3597e-05 4.3597e-05 
0.00108 -2.4441e-04 6.0558e-04 3.0994e-04 -5.4025e-04 -6.0140e-04 6.4948e-04 1.8100e-04 -2.5431e-04 4.4644e-05 4.4644e-05 3.7278e-05 3.7278e-05 2.9700e-05 2.9700e-05 3.6795e-05 3.6795e-05 
0.00073 -1.6639e-04 4.4281e-04 2.3886e-04 -4.1235e-04 -4.9458e-04 5.2558e-04 1.3793e-04 -1.5769e-04 3.3235e-05 3.3235e-05 3.5253e-05 3.5253e-05 2.3458e-05 2.3458e-05 2.7218e-05 2.7218e-05 
0.00049 -9.4421e-05 3.0780e-04 1.8634e-04 -3.1561e-04 -4.0379e-04 4.2608e-04 7.8967e-05 -1.1633e-04 2.4046e-05 2.4046e-05 3.0446e-05 3.0446e-05 1.8554e-05 1.8554e-05 2.0110e-05 2.0110e-05 
0.00034 -1.4430e-05 2.0749e-04 1.4370e-04 -2.3841e-04 -3.2215e-04 3.4037e-04 3.7866e-05 -1.1117e-04 1.6843e-05 1.6843e-05 2.3643e-05 2.3643e-05 1.4448e-05 1.4448e-05 1.6422e-05 1.6422e-05 
2  2  3.167  14.288  
28
40.75393 4.2969e-03 -1.4677e-02 4.3012e-02 -1.5835e-01 -5.3440e-02 1.8111e-01 -8.7519e-03 2.7174e-02 3.5066e-03 3.5066e-03 7.0410e-03 7.0410e-03 7.0410e-03 7.0410e-03 5.1395e-03 5.1395e-03 
27.58532 3.0923e-03 -1.0317e-02 3.2728e-02 -1.1078e-01 -4.1005e-02 1.2762e-01 -6.6826e-03 1.9563e-02 2.4690e-03 2.4690e-03 4.9774e-03 4.9774e-03 4.9774e-03 4.9774e-03 3.6849e-03 3.6849e-03 
18.67181 2.2797e-03 -7.5002e-03 2.6775e-02 -7.9990e-02 -3.3642e-02 9.3146e-02 -5.6978e-03 1.5075e-02 1.8000e-03 1.8000e-03 3.6560e-03 3.6560e-03 3.6560e-03 3.6560e-03 2.7965e-03 2.7965e-03 
